iter	Passed	Remaining
0	151	151316
1	153	76416
2	154	51426
3	156	38955
4	158	31467
5	159	26441
6	161	22880
7	162	20180
8	164	18059
9	165	16400
10	167	15019
11	168	13863
12	169	12884
13	170	12033
14	172	11297
15	173	10653
16	174	10085
17	175	9566
18	176	9099
19	177	8685
20	178	8303
21	178	7952
22	179	7626
23	180	7328
24	180	7054
25	181	6802
26	182	6569
27	183	6353
28	183	6150
29	184	5961
30	185	5782
31	185	5618
32	186	5461
33	187	5314
34	187	5180
35	188	5049
36	189	4925
37	189	4808
38	190	4697
39	191	4595
40	192	4492
41	192	4398
42	193	4306
43	194	4219
44	194	4136
45	195	4055
46	196	3980
47	196	3906
48	197	3837
49	198	3770
50	199	3705
51	199	3645
52	200	3586
53	201	3528
54	202	3474
55	202	3419
56	203	3368
57	204	3319
58	205	3275
59	206	3229
60	207	3186
61	207	3140
62	208	3096
63	208	3053
64	209	3012
65	210	2971
66	210	2932
67	210	2890
68	211	2853
69	212	2817
70	212	2781
71	213	2747
72	213	2713
73	214	2680
74	214	2649
75	215	2618
76	215	2588
77	216	2559
78	217	2531
79	217	2504
80	218	2478
81	219	2454
82	219	2430
83	220	2405
84	220	2378
85	221	2355
86	221	2329
87	222	2306
88	223	2284
89	223	2262
90	224	2241
91	224	2220
92	225	2199
93	226	2179
94	226	2159
95	227	2139
96	227	2120
97	228	2101
98	228	2084
99	229	2066
100	230	2048
101	230	2028
102	231	2011
103	231	1995
104	232	1978
105	232	1963
106	233	1950
107	234	1936
108	235	1921
109	235	1908
110	236	1893
111	237	1879
112	237	1865
113	238	1851
114	238	1837
115	239	1823
116	239	1809
117	240	1796
118	240	1782
119	241	1769
120	241	1757
121	242	1744
122	242	1730
123	243	1718
124	243	1707
125	244	1695
126	244	1684
127	245	1671
128	245	1660
129	246	1649
130	247	1638
131	247	1628
132	248	1619
133	249	1610
134	249	1600
135	250	1590
136	250	1580
137	251	1570
138	251	1560
139	252	1551
140	253	1542
141	253	1533
142	254	1523
143	254	1515
144	255	1506
145	256	1498
146	256	1489
147	257	1480
148	257	1472
149	258	1463
150	258	1455
151	259	1447
152	259	1439
153	260	1430
154	261	1423
155	261	1415
156	262	1408
157	262	1401
158	263	1394
159	264	1387
160	264	1380
161	265	1373
162	265	1365
163	266	1358
164	267	1351
165	267	1344
166	268	1337
167	268	1330
168	269	1324
169	269	1317
170	270	1310
171	270	1304
172	271	1297
173	272	1291
174	272	1284
175	273	1278
176	273	1272
177	274	1266
178	274	1259
179	275	1253
180	275	1246
181	276	1240
182	276	1234
183	277	1229
184	277	1224
185	278	1219
186	279	1214
187	279	1209
188	280	1203
189	281	1198
190	281	1193
191	282	1187
192	282	1182
193	283	1177
194	283	1171
195	284	1166
196	285	1161
197	285	1156
198	286	1151
199	286	1146
200	287	1141
201	287	1136
202	288	1131
203	288	1126
204	289	1122
205	289	1117
206	290	1112
207	291	1108
208	291	1103
209	292	1099
210	293	1096
211	293	1092
212	294	1087
213	295	1083
214	295	1079
215	296	1074
216	296	1070
217	297	1066
218	297	1062
219	298	1058
220	298	1053
221	299	1049
222	300	1045
223	300	1041
224	301	1037
225	301	1033
226	302	1029
227	302	1025
228	303	1021
229	303	1017
230	304	1013
231	304	1009
232	305	1005
